pkt_num   RTT
2  0.126057
4  0.102245
7  0.101402
9  0.101011
11  0.101570
13  0.102242
15  0.102461
17  0.102592
19  0.103132
21  0.103416
23  0.103666
25  0.103905
27  0.104124
29  0.104275
31  0.104757
33  0.105053
35  0.105103
37  0.105310
39  0.105522
41  0.105650
43  0.106276
45  0.100948
47  0.100897
49  0.100868
51  0.100771
53  0.100727
55  0.100723
57  0.101421
59  0.101452
61  0.101528
63  0.101812
65  0.101938
67  0.102480
69  0.102842
71  0.103254
73  0.103571
75  0.103857
77  0.103989
79  0.104446
81  0.104733
83  0.104851
85  0.104847
87  0.105080
89  0.105150
91  0.105713
93  0.105936
95  0.106047
97  0.106258
99  0.106335
101  0.106392
103  0.106939
105  0.107145
107  0.107279
109  0.107296
111  0.107397
113  0.107458
115  0.108068
117  0.108170
119  0.108431
121  0.100992
123  0.101389
125  0.100639
127  0.101164
129  0.102200
131  0.103346
133  0.103960
135  0.104631
137  0.105354
139  0.106651
141  0.107349
143  0.108786
145  0.109440
147  0.110439
149  0.111406
151  0.112740
153  0.112896
155  0.113123
157  0.113344
159  0.113297
161  0.113668
163  0.113831
165  0.114075
167  0.114128
169  0.114283
171  0.114359
173  0.114561
175  0.114517
177  0.114672
179  0.114752
181  0.114889
183  0.114922
185  0.115046
187  0.115240
189  0.115458
191  0.115683
193  0.115690
195  0.115946
197  0.116112
199  0.116344
201  0.116444
203  0.116728
205  0.116842
207  0.117027
209  0.116714
211  0.117188
213  0.117413
215  0.117752
217  0.117828
219  0.117954
221  0.118282
223  0.118561
225  0.118647
227  0.118874
229  0.119003
231  0.119209
233  0.119493
235  0.119453
237  0.119663
239  0.119883
241  0.120117
243  0.120178
245  0.120567
247  0.120701
249  0.120930
251  0.121143
253  0.121359
255  0.121416
257  0.121387
259  0.121666
261  0.121870
263  0.122078
265  0.122261
267  0.122345
269  0.122707
271  0.122894
273  0.123108
275  0.123241
277  0.123507
278  0.126289
280  0.100967
282  0.101269
284  0.101282
286  0.101397
288  0.100496
290  0.100811
292  0.100887
294  0.100784
296  0.100594
298  0.100780
300  0.100780
302  0.100708
304  0.101070
306  0.100988
308  0.101242
310  0.100885
312  0.101112
314  0.100748
316  0.100872
318  0.100630
320  0.100655
322  0.100409
324  0.100491
326  0.100492
328  0.100578
330  0.100655
332  0.100626
334  0.100498
336  0.100506
338  0.100645
340  0.100658
342  0.100792
344  0.101191
346  0.101683
348  0.102285
350  0.103085
352  0.103754
354  0.104313
356  0.104832
358  0.105755
360  0.105997
362  0.106688
364  0.107328
366  0.107990
368  0.108540
370  0.109322
372  0.109821
374  0.110443
376  0.111153
378  0.111900
380  0.112446
382  0.113029
384  0.113569
386  0.114199
388  0.114635
390  0.115002
392  0.115055
394  0.114967
396  0.114965
398  0.114908
400  0.114920
402  0.114782
404  0.114773
406  0.114697
408  0.114655
410  0.114704
412  0.114666
414  0.114494
416  0.114504
418  0.114382
420  0.114344
422  0.114250
424  0.114227
426  0.114071
428  0.114124
430  0.114023
432  0.113987
434  0.113821
436  0.113859
438  0.113823
440  0.113686
442  0.113649
444  0.113604
446  0.113577
448  0.113443
450  0.113598
452  0.113461
454  0.113482
456  0.113443
458  0.113386
460  0.113150
462  0.113106
464  0.113075
466  0.113075
468  0.112947
470  0.112917
472  0.112774
474  0.112736
476  0.112658
478  0.112507
480  0.112467
482  0.112335
484  0.112099
486  0.112000
488  0.111944
490  0.111877
492  0.111849
494  0.111713
496  0.111671
498  0.111540
500  0.111500
502  0.111353
504  0.111313
506  0.111147
508  0.111076
510  0.110891
512  0.110847
514  0.110798
516  0.110651
518  0.110617
520  0.110500
522  0.110466
524  0.110325
526  0.110344
528  0.110209
530  0.110270
532  0.110136
534  0.109962
536  0.109911
538  0.109879
540  0.109753
542  0.109711
544  0.109573
546  0.109533
548  0.109386
550  0.109322
552  0.109114
554  0.109074
556  0.108946
558  0.108881
560  0.108675
562  0.108631
564  0.108597
566  0.108566
568  0.108538
570  0.108490
572  0.108459
574  0.108318
576  0.108232
578  0.108097
580  0.108065
582  0.107918
584  0.107744
586  0.107718
588  0.107704
590  0.107548
592  0.107502
594  0.107288
596  0.107244
598  0.107080
600  0.107042
602  0.106882
604  0.106838
606  0.106806
608  0.106638
610  0.106550
612  0.104061
614  0.100990
616  0.101154
618  0.101093
620  0.101099
622  0.100986
624  0.100948
626  0.100790
628  0.100718
630  0.100622
632  0.100695
634  0.100447
636  0.100452
638  0.100452
640  0.100437
642  0.100525
644  0.100508
646  0.100470
648  0.100391
650  0.100636
652  0.100586
654  0.100561
656  0.100420
658  0.100323
660  0.100357
662  0.100435
664  0.100506
666  0.100479
668  0.100395
670  0.100506
672  0.100473
674  0.100430
676  0.100481
678  0.100397
680  0.100397
682  0.100367
684  0.100384
686  0.100344
688  0.100439
690  0.100380
692  0.100409
694  0.100420
696  0.100389
698  0.100384
700  0.100388
702  0.100338
704  0.100416
706  0.100739
708  0.100710
710  0.100361
712  0.100327
714  0.100430
716  0.100361
718  0.100422
720  0.100351
722  0.100401
724  0.100378
726  0.100534
728  0.100433
730  0.100384
732  0.100412
734  0.100348
736  0.100346
738  0.100470
740  0.100292
742  0.100615
744  0.100349
746  0.100382
748  0.100330
750  0.100477
752  0.101471
754  0.101398
756  0.100822
758  0.100672
760  0.100376
762  0.100500
764  0.100529
766  0.100321
768  0.100384
770  0.100357
772  0.100483
774  0.100336
776  0.100380
778  0.100651
780  0.100378
782  0.100485
784  0.100399
786  0.100725
788  0.100512
790  0.100315
792  0.100296
794  0.100313
796  0.100554
798  0.100431
800  0.100435
802  0.100403
804  0.100456
806  0.100475
808  0.100258
810  0.100504
812  0.100477
814  0.100370
816  0.100407
818  0.100315
820  0.100384
822  0.100275
824  0.100494
826  0.100479
828  0.104782
830  0.104757
832  0.104431
834  0.104212
836  0.103949
838  0.103771
840  0.103605
842  0.103518
844  0.103285
855  29.101643
