pkt_num   RTT
3  0.000504
5  0.002584
7  0.002295
9  0.013146
11  0.013541
13  0.013872
14  0.014057
15  0.014101
16  0.014068
18  0.014003
20  0.013899
22  0.013923
24  0.014010
26  0.014096
28  0.014492
30  0.014644
32  0.014751
34  0.014719
36  0.014758
38  0.014821
40  0.014936
42  0.015033
44  0.005318
46  0.005355
48  0.005322
50  0.005398
52  0.005235
54  0.005023
56  0.004393
59  0.004111
60  0.004158
61  0.004109
62  0.004116
64  0.003883
66  0.015476
68  0.015611
70  0.015598
72  0.015675
74  0.015791
76  0.015862
78  0.015864
80  0.015983
81  0.016272
82  0.016352
83  0.016499
85  0.016057
88  0.015614
89  0.015795
90  0.015819
91  0.015801
93  0.015727
95  0.015833
97  0.004878
99  0.004860
101  0.004806
103  0.004826
105  0.004775
108  0.004600
109  0.004823
110  0.004783
111  0.005011
113  0.004722
115  0.004510
117  0.004529
119  0.004289
121  0.004251
123  0.004183
124  0.004337
125  0.004217
126  0.004177
128  0.003976
130  0.004008
132  0.004001
134  0.003860
136  0.003808
138  0.003650
140  0.003653
142  0.003795
144  0.003803
146  0.003546
148  0.003194
150  0.003229
152  0.003185
154  0.003163
156  0.003140
157  0.003133
158  0.003132
159  0.003103
161  0.002991
163  0.002946
165  0.002877
167  0.002782
169  0.002709
171  0.002696
173  0.002662
175  0.002456
177  0.002270
179  0.002367
181  0.002403
183  0.002462
185  0.002531
187  0.002603
189  0.002639
191  0.002775
193  0.003265
195  0.003235
196  0.003276
198  0.003065
199  0.003242
200  0.003230
201  0.003313
203  0.003231
205  0.003213
207  0.003213
209  0.002845
211  0.002798
212  0.002891
213  0.002753
214  0.002674
216  0.002508
218  0.002567
219  0.002566
220  0.002554
221  0.002446
224  0.002276
225  0.002548
226  0.002638
227  0.002606
229  0.002409
231  0.002328
234  0.001718
235  0.001941
236  0.002029
237  0.002026
239  0.001838
241  0.001863
243  0.002012
245  0.001960
247  0.001821
249  0.001603
251  0.001449
253  0.001486
254  0.001462
255  0.001468
256  0.001498
258  0.001398
260  0.001473
263  0.001222
264  0.001441
265  0.001418
266  0.001410
268  0.001309
270  0.001299
272  0.001175
274  0.002510
276  0.002906
278  0.002860
280  0.001749
284  0.000979
286  0.001022
287  0.001300
288  0.001292
289  0.001318
291  0.001173
293  0.001102
295  0.001033
297  0.000937
299  0.000921
301  0.000872
303  0.000982
304  0.000990
305  0.001008
306  0.001029
308  0.000920
310  0.000898
312  0.000736
314  0.000693
316  0.000675
318  0.000677
320  0.000659
322  0.002966
324  0.003284
326  0.003333
328  0.000999
330  0.000712
332  0.000659
334  0.000659
336  0.000668
338  0.000655
341  0.000459
342  0.000662
343  0.000709
344  0.000835
346  0.000760
348  0.000584
350  0.000478
352  0.000495
354  0.000505
356  0.000429
358  0.000508
360  0.000476
362  0.000451
364  0.000475
366  0.000480
368  0.000472
370  0.000481
372  0.000472
374  0.000452
377  0.000429
378  0.000556
379  0.000626
381  0.000537
383  0.000347
385  0.000384
387  0.000488
389  0.000471
391  0.000443
393  0.000501
395  0.000483
397  0.000449
399  0.000473
401  0.000501
403  0.000474
405  0.000496
407  0.000440
409  0.000450
410  0.000605
411  0.000799
413  0.000539
415  0.000552
416  0.000532
417  0.000647
418  0.000733
420  0.000493
422  0.000558
423  0.000607
424  0.000709
425  0.000803
427  0.000503
429  0.000641
430  0.000739
431  0.000928
432  0.001087
434  0.000732
436  0.000643
438  0.000631
440  0.000594
442  0.000566
444  0.000610
446  0.000615
447  0.000715
448  0.000753
449  0.000857
451  0.000613
