pkt_num   RTT (seconds)
2  0.126011
4  0.102707
7  0.101234
9  0.100639
11  0.101021
13  0.101402
15  0.101704
17  0.102119
19  0.102631
21  0.102859
24  0.103123
25  0.103428
26  0.103634
27  0.103870
29  0.103985
30  0.104446
31  0.104633
32  0.104805
34  0.104782
36  0.104912
38  0.105160
40  0.105396
41  0.105572
42  0.105774
43  0.106125
45  0.100899
47  0.100842
49  0.100555
51  0.100647
53  0.100491
55  0.100487
57  0.100552
59  0.100471
61  0.100761
63  0.100998
64  0.101185
65  0.101391
66  0.101414
68  0.101509
70  0.101624
72  0.101814
74  0.101795
76  0.102013
78  0.101994
79  0.102314
80  0.102409
81  0.102516
83  0.102509
85  0.102482
87  0.102413
89  0.102497
91  0.102535
93  0.102547
95  0.102673
97  0.102715
99  0.102875
101  0.102856
103  0.103027
105  0.103058
107  0.103077
109  0.103039
111  0.103111
114  0.100574
115  0.100792
116  0.100590
117  0.101097
119  0.101032
121  0.100822
123  0.100719
125  0.100533
126  0.100533
127  0.100636
128  0.100677
130  0.100723
132  0.100719
134  0.100735
136  0.100769
138  0.100788
140  0.100590
142  0.100567
144  0.100574
145  0.100986
146  0.101082
148  0.101093
149  0.101463
150  0.101753
151  0.101974
154  0.101906
155  0.102409
157  0.102303
158  0.102333
159  0.102371
160  0.102448
162  0.102352
164  0.102341
166  0.102348
167  0.102470
168  0.102440
169  0.102577
171  0.102558
173  0.100452
176  0.100468
179  0.100761
180  0.100853
181  0.100704
182  0.100727
184  0.100597
186  0.100399
189  0.100388
190  0.100525
191  0.100513
192  0.100708
194  0.100769
196  0.100773
198  0.100803
200  0.100754
202  0.100796
204  0.100647
206  0.100487
208  0.100483
210  0.100395
212  0.100739
213  0.100906
214  0.101105
215  0.101391
217  0.101326
219  0.101254
221  0.101471
223  0.101482
226  0.101112
227  0.101257
228  0.102283
229  0.101295
231  0.101463
233  0.101089
236  0.100571
237  0.100452
238  0.100403
241  0.100880
242  0.100887
243  0.100693
245  0.100426
247  0.100376
249  0.100384
251  0.100365
253  0.100502
255  0.100471
257  0.100372
259  0.100399
261  0.100372
263  0.100380
265  0.100498
267  0.100388
269  0.100418
271  0.100376
273  0.100552
275  0.100624
277  0.100639
279  0.100418
281  0.100338
284  0.100368
285  0.100422
287  0.100456
288  0.100437
289  0.100510
290  0.100460
291  0.126148
294  0.100731
296  0.101334
298  0.101532
300  0.101334
302  0.100906
304  0.100517
306  0.100426
308  0.100914
310  0.100655
312  0.100624
315  0.100361
316  0.100784
317  0.100872
318  0.100826
320  0.100731
322  0.100407
324  0.100410
326  0.100418
328  0.100803
330  0.100498
332  0.100414
334  0.100704
336  0.100883
338  0.101063
340  0.101231
342  0.100601
344  0.100533
346  0.100544
348  0.100422
350  0.100513
352  0.100407
354  0.100403
356  0.100403
358  0.100491
360  0.100784
362  0.100708
364  0.100658
366  0.100403
368  0.100666
369  0.100658
370  0.100647
371  0.100769
373  0.100513
375  0.100594
377  0.100529
379  0.101345
381  0.101219
384  0.101120
385  0.101170
387  0.100471
388  0.100624
389  0.100479
390  0.100578
392  0.100346
394  0.100414
396  0.100395
398  0.100346
400  0.100357
403  0.100452
404  0.100719
405  0.100491
406  0.100536
408  0.100437
411  0.100731
412  0.100773
413  0.100609
414  0.100651
415  0.126732
417  0.100887
419  0.100929
421  0.100990
424  0.100483
425  0.100582
426  0.100746
427  0.100651
429  0.100349
431  0.100430
432  0.100601
433  0.100418
435  0.100384
438  0.100483
439  0.100491
440  0.100422
441  0.100498
443  0.100391
445  0.100727
447  0.100780
449  0.100674
451  0.100925
453  0.100601
455  0.100571
457  0.100552
459  0.100506
461  0.100456
463  0.100372
465  0.100380
467  0.100407
469  0.100334
472  0.100433
473  0.100513
474  0.100468
475  0.100452
477  0.100433
479  0.100574
481  0.100937
483  0.101410
485  0.101402
487  0.100449
489  0.100403
491  0.100601
493  0.100582
495  0.100525
497  0.100380
499  0.100418
501  0.100471
503  0.100513
505  0.100563
507  0.100422
509  0.100483
510  0.126305
512  0.100723
514  0.100849
516  0.100708
518  0.100700
519  0.100754
520  0.100826
521  0.100971
523  0.100853
525  0.100460
527  0.100533
529  0.100578
531  0.100605
533  0.100506
535  0.100441
537  0.100426
539  0.101017
540  0.101593
541  0.101669
542  0.101822
544  0.101295
546  0.101192
548  0.101086
550  0.101048
552  0.100346
554  0.100418
556  0.100479
558  0.100388
560  0.100372
561  0.126228
563  0.100716
565  0.100449
567  0.100414
569  0.100464
571  0.100410
573  0.100494
575  0.100609
577  0.100540
579  0.100586
581  0.100842
582  0.100956
583  0.100601
584  0.100716
586  0.100819
588  0.100689
590  0.100605
592  0.100597
594  0.100620
596  0.100658
598  0.100708
599  0.100758
600  0.100914
601  0.100567
603  0.100544
605  0.100475
607  0.100342
609  0.100506
610  0.101013
611  0.101166
612  0.101406
614  0.101185
616  0.101109
618  0.100941
620  0.100456
622  0.100414
624  0.100407
626  0.100517
628  0.100628
629  0.126476
631  0.100754
633  0.100712
635  0.100700
637  0.100750
639  0.100441
641  0.100437
643  0.100529
644  0.100647
646  0.100544
647  0.101131
648  0.101273
649  0.101002
650  0.126499
652  0.101067
654  0.100952
656  0.100925
658  0.101032
660  0.100487
662  0.100452
664  0.100346
666  0.100605
667  0.132526
668  0.126648
670  0.100750
672  0.100975
674  0.100967
676  0.100914
678  0.100910
680  0.100410
682  0.100422
683  0.100582
684  0.100758
685  0.100979
686  0.126072
688  0.100891
690  0.100670
692  0.100822
694  0.100792
696  0.100822
698  0.100697
701  0.100792
702  0.100830
703  0.100750
704  0.100594
706  0.100845
707  0.100853
708  0.100967
709  0.100983
711  0.100906
713  0.100468
715  0.100666
717  0.100536
719  0.100670
720  0.125954
722  0.100697
724  0.100613
726  0.100616
728  0.100468
730  0.100761
731  0.100578
732  0.100727
734  0.100887
735  0.101063
736  0.100994
737  0.101112
739  0.101124
741  0.100807
743  0.100609
745  0.100674
747  0.100697
749  0.100533
751  0.104343
753  0.100349
755  0.100555
757  0.100548
759  0.100986
761  0.101891
763  0.100853
765  0.100681
767  0.100666
768  0.126740
770  0.100891
772  0.100517
774  0.100727
776  0.100811
778  0.100498
779  0.126453
781  0.100647
782  0.102978
783  0.100769
784  0.100849
786  0.100498
788  0.100842
790  0.100857
792  0.100700
793  0.100838
794  0.101021
795  0.100662
797  0.100777
799  0.100803
801  0.100834
803  0.100670
805  0.100857
807  0.100693
809  0.100552
811  0.101883
813  0.100677
815  0.100842
817  0.100441
819  0.100796
821  0.100868
823  0.100765
824  0.126255
826  0.100826
828  0.100777
830  0.100403
832  0.100887
833  0.100986
834  0.100979
835  0.101097
837  0.100842
839  0.100838
841  0.100731
843  0.100849
844  0.126019
846  0.100872
847  0.101048
849  0.100868
850  0.100788
851  0.101040
853  0.100914
854  0.100903
855  0.101044
856  0.100735
858  0.100796
859  0.100746
860  0.100723
861  0.100624
863  0.100830
864  0.126816
865  0.126328
867  0.100445
869  0.100864
871  0.100510
873  0.100842
874  0.126339
875  0.126030
877  0.100479
879  0.100811
881  0.100857
883  0.100803
885  0.100838
887  0.100723
889  0.100689
891  0.100838
893  0.100750
895  0.100811
897  0.100941
899  0.101055
900  0.101227
901  0.101185
902  0.108059
904  0.100960
906  0.101063
908  0.100628
910  0.100788
912  0.100700
914  0.100887
916  0.100769
918  0.100914
920  0.100773
922  0.100876
924  0.100723
925  0.126728
927  0.100571
929  0.100716
932  0.100826
933  0.100792
934  0.102375
935  0.100914
936  0.126156
938  0.100780
940  0.100708
942  0.100788
945  0.100803
946  0.100945
947  0.100807
948  0.100655
950  0.100590
952  0.100563
954  0.100857
955  0.127125
957  0.100883
959  0.100578
961  0.100632
963  0.101002
964  0.126503
966  0.100571
967  0.133953
969  0.100929
971  0.100746
973  0.100761
975  0.100819
977  0.100723
979  0.100784
981  0.100739
983  0.100651
985  0.100651
987  0.100903
989  0.100800
990  0.126930
992  0.101067
994  0.100822
996  0.100842
998  0.100842
1000  0.100792
1002  0.101070
1004  0.100830
1006  0.100834
1009  0.100674
1010  0.100742
1011  0.100883
1012  0.100864
1014  0.100956
1016  0.100868
1018  0.100594
1020  0.100845
1022  0.100868
1024  0.100742
1026  0.100502
1028  0.100727
1030  0.100780
1032  0.100754
1034  0.100712
1036  0.100677
1038  0.100674
1040  0.100742
1042  0.100899
1043  0.100906
1044  0.100895
1045  0.100895
1046  0.126137
1048  0.100807
1051  0.100826
1052  0.101021
1053  0.100769
1054  0.101051
1056  0.100750
1058  0.100845
1060  0.100811
1062  0.100822
1064  0.100513
1065  0.125896
1067  0.100712
1069  0.100704
1071  0.100857
1073  0.100861
1075  0.100746
1078  0.100719
1079  0.100891
1080  0.102703
1081  0.100800
1083  0.100731
1085  0.100773
1087  0.100647
1089  0.100796
1091  0.100807
1093  0.100826
1095  0.100784
1097  0.100681
1099  0.100513
1101  0.100742
1103  0.100807
1104  0.126480
1106  0.100758
1108  0.100929
1110  0.100739
1111  0.126728
1113  0.100967
1115  0.101116
1116  0.126621
1118  0.100525
1120  0.100403
1122  0.100582
1123  0.125778
1125  0.100666
1127  0.100719
1129  0.100807
1131  0.100922
1133  0.100769
1135  0.100555
1137  0.100700
1139  0.100597
1140  0.100666
1141  0.100674
1143  0.100624
1144  0.101288
1145  0.100929
1146  0.100807
1148  0.100716
1151  0.100998
1153  0.101543
1154  0.102291
1155  0.102406
1156  0.102512
1158  0.100574
1160  0.100912
1162  0.100846
1164  0.100757
1166  0.100410
1168  0.100747
1170  0.100447
1171  0.126379
1172  0.126651
1174  0.100774
1175  0.100788
1176  0.100886
1177  0.100534
1179  0.100380
1181  0.100662
1183  0.100481
1184  0.100649
1185  0.100879
1186  0.100944
1188  0.100531
1191  0.100410
1193  0.100608
1195  0.100427
1197  0.100548
1198  0.126819
1200  0.100753
1203  0.100547
1204  0.100721
1206  0.100825
1207  0.100563
1208  0.100678
1209  0.100930
1210  0.126189
1212  0.100968
1213  0.101080
1214  0.101209
1215  0.100955
1217  0.100909
1219  0.100700
1220  0.100738
1221  0.100554
1222  0.100627
1224  0.100628
1228  0.100543
1229  0.100678
1230  0.100701
1231  0.100612
1233  0.100388
1235  0.100607
1237  0.100855
1239  0.100702
1241  0.100554
1243  0.100353
1245  0.100550
1247  0.100726
1249  0.100727
1251  0.100715
1253  0.101165
1254  0.100571
1255  0.100670
1256  0.101061
1258  0.100915
1260  0.100698
1262  0.100453
1264  0.100412
1266  0.100831
1268  0.100944
1270  0.100604
1272  0.100425
1274  0.100774
1275  0.104681
1276  0.100834
1277  0.100842
1279  0.100773
1282  0.100847
1283  0.100780
1284  0.100785
1285  0.100779
1287  0.100871
1288  0.101000
1289  0.100986
1290  0.100631
1291  0.126689
1293  0.100701
1295  0.100725
1296  0.126534
1297  0.126689
1299  0.100727
1301  0.100644
1302  0.126351
1303  0.126771
1304  0.126832
1307  0.100828
1308  0.100970
1309  0.100772
1310  0.100859
1311  0.126658
1313  0.100626
1315  0.100900
1317  0.105639
1319  0.100880
1321  0.100736
1322  0.103750
1323  0.100832
1324  0.103290
1326  0.100699
1328  0.100882
1329  0.126822
1331  0.100832
1334  0.100663
1335  0.100803
1336  0.100789
1337  0.102350
1339  0.100747
1340  0.126536
1342  0.100731
1344  0.100891
1346  0.100792
1348  0.100789
1350  0.100687
1352  0.100734
1354  0.100858
1356  0.100827
1358  0.100805
1359  0.126210
1361  0.100687
1363  0.100885
1365  0.100774
1367  0.100757
1369  0.100801
1370  0.126736
1372  0.106214
1373  0.107664
1375  0.100818
1376  0.101095
1377  0.100823
1378  0.100956
1380  0.100798
1383  0.100758
1385  0.100813
1387  0.100634
1389  0.100867
1390  0.100961
1392  0.100914
1393  0.100841
1394  0.100949
1395  0.100735
1397  0.100796
1398  0.100816
1399  0.100940
1400  0.100934
1402  0.100798
1404  0.100730
1405  0.126162
1407  0.100716
1408  0.126373
1410  0.100918
1412  0.104558
1413  0.100898
1414  0.100948
1415  0.101064
1417  0.100871
1419  0.100762
1421  0.100696
1423  0.100860
1424  0.102491
1425  0.100824
1426  0.100848
1428  0.100851
1430  0.100784
1432  0.100885
1434  0.103150
1436  0.101148
1438  0.100793
1440  0.100543
1442  0.100716
1443  0.126398
1445  0.100665
1447  0.100418
1449  0.100817
1451  0.102093
1453  0.100670
1455  0.100594
1457  0.100792
1458  0.126676
1460  0.100387
1462  0.100392
1464  0.100376
1466  0.100773
1468  0.100979
1470  0.100587
1472  0.100654
1474  0.100519
1476  0.100678
1478  0.100771
1480  0.100730
1482  0.100773
1484  0.100692
1486  0.100538
1488  0.100787
1490  0.101716
1492  0.100759
1494  0.100799
1496  0.100651
1498  0.100516
1500  0.100896
1502  0.101066
1504  0.100628
1506  0.100854
1508  0.100892
1510  0.100661
1512  0.100549
1514  0.100760
1516  0.100731
1520  0.100790
1521  0.100955
1522  0.100997
1523  0.101127
1525  0.100735
1527  0.100543
1529  0.100866
1531  0.100893
1532  0.100999
1533  0.100868
1534  0.101154
1536  0.101169
1538  0.100517
1539  0.126013
1541  0.100878
1543  0.100747
1545  0.100936
1547  0.100877
1549  0.100607
1551  0.100524
1553  0.100801
1555  0.100620
1557  0.100730
1559  0.100633
1561  0.100667
1563  0.100700
1565  0.100671
1567  0.100803
1569  0.100939
1571  0.100871
1573  0.100915
1575  0.100851
1577  0.100604
1579  0.100587
1580  0.126697
1582  0.100759
1583  0.126056
1585  0.101037
1586  0.101136
1587  0.101035
1588  0.101073
1590  0.100972
1592  0.100547
1594  0.100628
1595  0.125948
1596  0.125953
1598  0.100782
1601  0.100806
